City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
San Cristobal,7.7669,-72.225,299.15,78,40,2.06,VE,1611502560
George Town,5.4112,100.3354,302.15,74,20,3.6,MY,1611502776
La Ronge,55.1001,-105.2842,234.15,60,0,0.2,CA,1611502784
Kungurtug,50.5994,97.5228,254.6,88,100,0.85,RU,1611502812
Vaini,-21.2,-175.2,295.15,100,90,5.19,TO,1611502775
New Norfolk,-42.7826,147.0587,291.48,73,75,1.79,AU,1611502776
Narsaq,60.9167,-46.05,271.15,31,0,13.89,GL,1611502812
Faanui,-16.4833,-151.75,300.33,73,22,6.0,PF,1611502781
Gizo Government Station,-8.103,156.8419,300.59,72,100,3.13,SB,1611502785
Ancud,-41.8697,-73.8203,290.15,51,0,4.12,CL,1611502785
Lata,40.1629,-8.3327,288.71,86,100,0.45,PT,1611502813
Vuktyl,63.8567,57.3094,248.05,89,100,4.19,RU,1611502789
Tanete,-3.9443,119.7848,298.3,82,100,1.14,ID,1611502813
Mahébourg,-20.4081,57.7,300.15,78,40,2.06,MU,1611502813
Hithadhoo,-0.6,73.0833,301.31,68,48,1.21,MV,1611502813
Punta Arenas,-53.15,-70.9167,291.15,34,0,7.72,CL,1611502813
Hobart,-42.8794,147.3294,291.48,82,87,2.06,AU,1611502774
Auki,-8.7676,160.7034,297.76,76,57,1.35,SB,1611502814
Lorengau,-2.0226,147.2712,300.51,72,100,1.88,PG,1611502814
Komniná,40.6,21.7833,285.37,66,100,3.6,GR,1611502814
Souillac,-20.5167,57.5167,300.15,78,40,2.06,MU,1611502814
Bluff,-46.6,168.3333,287.59,86,71,5.81,NZ,1611502814
Nanortalik,60.1432,-45.2371,268.58,90,0,4.04,GL,1611502787
Ilulissat,69.2167,-51.1,267.15,35,40,4.12,GL,1611502814
Kortrijk,50.828,3.2649,275.93,88,100,1.34,BE,1611502815
Redlands,34.0556,-117.1825,279.26,81,75,0.68,US,1611502807
Abu Dhabi,24.4667,54.3667,293.15,45,0,3.6,AE,1611502599
Jamestown,42.097,-79.2353,271.15,59,75,1.32,US,1611502815
Machinga,-15.1685,35.3,293.88,93,100,0.76,MW,1611502815
Kismayo,-0.3582,42.5454,298.77,81,61,6.08,SO,1611502815
Concepción del Uruguay,-32.4825,-58.2372,307.59,45,1,1.79,AR,1611502815
Atar,20.5169,-13.0499,304.61,9,97,7.01,MR,1611502815
Longyearbyen,78.2186,15.6401,264.15,67,75,6.69,SJ,1611502776
Kaitangata,-46.2817,169.8464,285.93,79,62,1.34,NZ,1611502815
Katsuura,35.1333,140.3,280.15,87,75,7.72,JP,1611502816
Carnarvon,-24.8667,113.6333,298.15,73,40,8.75,AU,1611502775
Sovetskiy,61.3614,63.5842,244.59,88,100,3.93,RU,1611502816
Kalmunai,7.4167,81.8167,297.43,81,85,4.15,LK,1611502816
Geraldton,-28.7667,114.6,294.12,69,24,5.06,AU,1611502816
Międzyrzecz,52.4446,15.578,275.93,93,90,0.81,PL,1611502816
Hīt,33.6416,42.8251,283.4,43,0,1.27,IQ,1611502816
Berlevåg,70.8578,29.0864,266.15,86,75,5.66,NO,1611502816
Mount Gambier,-37.8333,140.7667,296.15,43,51,1.03,AU,1611502817
Vao,-22.6667,167.4833,297.79,76,90,10.1,NC,1611502817
Flinders,-34.5833,150.8552,297.04,77,100,0.89,AU,1611502817
Busselton,-33.65,115.3333,286.48,81,0,2.91,AU,1611502904
Matara,5.9485,80.5353,297.49,83,100,4.36,LK,1611502904
Karasburg,-28.0167,18.75,305.71,19,27,4.6,NA,1611502904
São João da Barra,-21.6403,-41.0511,303.15,48,75,5.14,BR,1611502904
Moerai,-22.4333,-151.3333,299.74,73,5,5.3,PF,1611502789
Balāngīr,20.7167,83.4833,293.84,35,0,1.32,IN,1611502904
Xinyu,27.8043,114.9334,285.68,74,96,2.54,CN,1611502905
Khani,41.9563,42.9566,283.15,25,0,5.14,GE,1611502905
Oistins,13.0667,-59.5333,301.15,65,40,5.14,BB,1611502740
Madang,-5.2246,145.7966,298.44,83,100,1.7,PG,1611502905
Bria,6.5423,21.9863,306.54,21,100,1.69,CF,1611502905
Airai,-8.9266,125.4092,289.58,100,100,0.99,TL,1611502905
Atuona,-9.8,-139.0333,298.51,77,5,6.74,PF,1611502905
Teguise,29.0605,-13.564,295.15,60,0,8.23,ES,1611502905
Mitsamiouli,-11.3847,43.2844,301.35,68,91,1.23,KM,1611502906
Susuman,62.7833,148.1667,241.13,82,100,1.05,RU,1611502906
Sola,-13.8833,167.55,299.87,85,100,7.15,VU,1611502906
Hilo,19.7297,-155.09,292.15,72,90,3.09,US,1611502774
Zhoucheng,35.9122,116.3117,278.74,64,100,1.34,CN,1611502906
Port Blair,11.6667,92.75,297.84,71,35,4.11,IN,1611502906
Kohat,33.582,71.4493,286.15,38,0,2.06,PK,1611502830
Warmbad,-28.45,18.7333,308.18,16,12,4.56,NA,1611502906
Bambous Virieux,-20.3428,57.7575,300.15,78,40,2.06,MU,1611502906
Morehead,37.2711,-87.1764,278.15,65,90,1.54,US,1611502906
Qeshm,26.9581,56.2719,291.15,39,0,2.06,IR,1611502906
Avarua,-21.2078,-159.775,300.15,78,20,5.14,CK,1611502907
Shimoda,34.6667,138.95,278.15,93,100,0.45,JP,1611502907
Esperance,-33.8667,121.9,288.15,82,40,4.11,AU,1611502907
Samarinda,-0.5,117.15,296.68,93,84,0.43,ID,1611502907
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,308.91,38,93,2.52,AR,1611502907
Bullhead City,35.1478,-114.5683,282.15,61,75,2.35,US,1611502907
Araouane,18.9048,-3.5265,302.9,10,57,4.19,ML,1611502907
Hermanus,-34.4187,19.2345,295.37,55,8,4.02,ZA,1611502779
São Gabriel da Cachoeira,-0.1303,-67.0892,301.15,74,40,2.06,BR,1611502908
Sydney,-33.8679,151.2073,297.15,73,0,5.66,AU,1611502343
Castro,-24.7911,-50.0119,295.02,85,100,1.8,BR,1611502778
Saulkrasti,57.2622,24.4147,275.15,93,90,2.57,LV,1611502908
Mataura,-46.1927,168.8643,287.59,86,74,5.81,NZ,1611502908
Wanning,18.8003,110.3967,293.2,86,27,2.12,CN,1611502908
Muros,42.7762,-9.0603,286.48,84,99,2.24,ES,1611502908
Cabo San Lucas,22.8909,-109.9124,287.15,82,1,5.66,MX,1611502636
Tabas,33.5959,56.9244,281.15,13,0,2.16,IR,1611502908
Ardahan,41.1087,42.7022,263.23,80,99,1.55,TR,1611502908
Karonga,-9.9333,33.9333,297.75,74,95,0.66,MW,1611502908
Cabadiangan,9.7531,122.4739,298.25,88,60,2.0,PH,1611502909
Fayaoué,-20.65,166.5333,299.57,81,100,11.72,NC,1611502909
Thunder Bay,48.4001,-89.3168,267.04,93,75,3.6,CA,1611502758
Praia da Vitória,38.7333,-27.0667,292.15,82,40,10.13,PT,1611502788
Ribeira Grande,38.5167,-28.7,290.15,94,75,6.17,PT,1611502786
Kapaa,22.0752,-159.319,296.48,88,75,7.2,US,1611502776
Lompoc,34.6391,-120.4579,278.15,93,1,1.54,US,1611502788
Candolim,15.5181,73.7626,300.15,74,0,5.14,IN,1611502909
Beringovskiy,63.05,179.3167,254.74,89,28,3.85,RU,1611502780
Alofi,-19.0595,-169.9187,297.15,94,100,0.51,NU,1611502909
Rawson,-43.3002,-65.1023,297.89,47,0,7.71,AR,1611502778
Excelsior Springs,39.3392,-94.2261,276.48,100,90,2.07,US,1611502910
Klaksvík,62.2266,-6.589,275.15,75,20,13.38,FO,1611502910
Provideniya,64.3833,-173.3,257.08,85,6,0.57,RU,1611502910
Derzhavīnsk,51.1,66.3167,255.74,92,100,4.82,KZ,1611502910
Robertsport,6.7533,-11.3686,300.43,74,0,5.87,LR,1611502910
Tuktoyaktuk,69.4541,-133.0374,250.15,77,90,3.6,CA,1611502776
Soure,-0.7167,-48.5233,300.81,81,94,5.1,BR,1611502730
Khatanga,71.9667,102.5,244.55,87,100,4.47,RU,1611502910
Makakilo City,21.3469,-158.0858,296.15,73,1,2.57,US,1611502758
Gravdal,68.1214,13.5031,269.15,74,75,3.09,NO,1611502911
Uri,34.0833,74.0333,274.44,74,10,3.72,IN,1611502911
Havre-St-Pierre,50.2334,-63.5986,274.15,80,90,7.72,CA,1611502911
Haines Junction,60.7522,-137.5108,262.15,92,100,0.36,CA,1611502787
Bethel,41.3712,-73.414,268.71,42,1,5.66,US,1611502911
Thompson,55.7435,-97.8558,247.15,70,90,4.63,CA,1611502822
Gualeguay,-33.1416,-59.3097,310.78,23,12,4.21,AR,1611502911
Chui,-33.6971,-53.4616,301.13,57,42,4.37,UY,1611502912
Bathsheba,13.2167,-59.5167,301.15,65,40,5.14,BB,1611502790
Natchitoches,31.7668,-93.1335,288.15,100,90,3.09,US,1611502912
Russell,32.3502,-85.1999,285.37,62,75,4.12,US,1611502912
Præstø,55.1178,12.0573,276.48,93,90,1.54,DK,1611502912
Salalah,17.0151,54.0924,296.15,56,0,1.03,OM,1611502912
Yumen,40.2833,97.2,266.91,81,40,7.3,CN,1611502912
Northam,51.0333,-4.2167,277.59,85,88,1.79,GB,1611502912
Stornoway,58.2093,-6.3865,275.37,87,75,7.72,GB,1611502912
Mar del Plata,-38.0023,-57.5575,305.15,48,20,2.06,AR,1611502626
Puerto Ayora,-0.7393,-90.3518,300.15,74,75,4.12,EC,1611502781
Acapulco de Juárez,16.8634,-99.8901,299.15,89,75,1.03,MX,1611502700
Paris,48.8534,2.3488,275.37,100,90,4.63,FR,1611502354
Harlingen,26.1906,-97.6961,297.04,94,90,8.75,US,1611502701
Bengkulu,-3.8004,102.2655,298.94,80,99,2.11,ID,1611502786
Aden,12.7794,45.0367,297.42,70,20,6.47,YE,1611502842
Poum,-20.2333,164.0167,299.98,80,85,6.41,NC,1611502913
São Filipe,14.8961,-24.4956,297.36,57,0,3.42,CV,1611502913
Kahului,20.8947,-156.47,294.26,88,1,1.54,US,1611502296
Vostok,46.4856,135.8833,256.89,94,41,1.41,RU,1611502913
Fairbanks,64.8378,-147.7164,257.59,77,20,2.06,US,1611502914
Conceição do Araguaia,-8.2578,-49.2647,303.8,59,8,3.29,BR,1611502914
Muisne,0.6,-80.0333,298.15,94,90,1.54,EC,1611502914
Nelson Bay,-32.7167,152.15,295.15,83,41,2.57,AU,1611502914
Alice Springs,-23.7,133.8833,298.15,78,90,6.17,AU,1611502914
Kambove,-10.8764,26.5969,291.56,97,100,3.07,CD,1611502914
Comodoro Rivadavia,-45.8667,-67.5,297.15,41,20,4.12,AR,1611502913
Pevek,69.7008,170.3133,244.77,88,86,2.9,RU,1611502914
Hasaki,35.7333,140.8333,278.15,93,75,4.63,JP,1611502753
Sirte,31.2089,16.5887,291.78,40,36,4.09,LY,1611502914
Dikson,73.5069,80.5464,247.86,90,100,4.68,RU,1611502780
Nísia Floresta,-6.0911,-35.2086,304.15,66,75,7.72,BR,1611502782
Bilibino,68.0546,166.4372,238.92,81,98,0.75,RU,1611502915
Altay,47.8667,88.1167,259.13,90,100,1.58,CN,1611502915
Husavik,66.0449,-17.3389,270.15,86,90,6.17,IS,1611502915
Moose Factory,51.2585,-80.6094,247.15,76,1,1.54,CA,1611502915
Fortuna,40.5982,-124.1573,279.82,100,90,2.45,US,1611502915
Nhulunbuy,-12.2333,136.7667,298.15,94,90,4.63,AU,1611502916
Sawākin,19.1059,37.3321,298.33,75,26,4.76,SD,1611502916
Tilichiki,60.4667,166.1,248.94,89,100,5.85,RU,1611502916
Pachino,36.7186,15.0907,286.15,88,75,5.14,IT,1611502916
Port Elizabeth,-33.918,25.5701,293.15,77,75,2.57,ZA,1611502600
Alugan,12.2188,125.4808,299.07,84,22,3.63,PH,1611502916
Manoel Urbano,-8.8389,-69.2597,295.96,95,100,0.39,BR,1611502781
Jiuquan,39.7432,98.5174,266.38,86,83,1.33,CN,1611502916
Lebu,-37.6167,-73.65,290.21,66,9,6.79,CL,1611502780
Glazunovka,52.4986,36.3275,274.89,96,100,6.5,RU,1611502916
Pisco,-13.7,-76.2167,298.15,65,0,3.6,PE,1611502917
Zhigansk,66.7697,123.3711,224.54,62,61,3.26,RU,1611502917
Santa Fe,-31.6333,-60.7,307.59,48,14,3.58,AR,1611502858
Kamiiso,41.8167,140.65,271.59,93,0,1.67,JP,1611502917
Talaya,61.3833,152.75,232.89,78,97,1.01,RU,1611502917
Chora,37.05,21.7167,287.59,76,40,4.5,GR,1611502917
Urusha,54.05,122.9,246.43,83,99,1.01,RU,1611502917
Pinawa,50.1489,-95.8811,248.46,89,100,3.29,CA,1611502782
Saldanha,-33.0117,17.9442,297.15,41,0,10.29,ZA,1611502917
Kupino,54.3663,77.2981,232.9,81,10,2.13,RU,1611502918
Rakovník,50.1037,13.7334,273.71,10,89,4.92,CZ,1611502918
Pangody,65.85,74.4859,233.14,76,0,2.45,RU,1611502918
Peniche,39.3558,-9.3811,288.15,76,100,4.02,PT,1611502918
Santiago,-33.4569,-70.6483,304.82,47,0,1.54,CL,1611502661
Basud,14.065,122.9642,298.56,89,8,2.71,PH,1611502918
Coquimbo,-29.9533,-71.3436,293.15,68,75,4.12,CL,1611502918
Kudahuvadhoo,2.6708,72.8944,301.36,74,78,5.91,MV,1611502783
Pangkalanbuun,-2.6833,111.6167,297.22,91,100,0.41,ID,1611502919
Oxapampa,-10.5775,-75.4017,290.3,87,98,0.88,PE,1611502919
Nyurba,63.2842,118.3319,228.92,76,30,2.22,RU,1611502919
Shiyan,32.6475,110.7781,276.81,88,100,0.83,CN,1611502919
Ocós,14.5094,-92.1933,301.15,69,1,1.91,GT,1611502919
Yaan,7.3833,8.5667,310.28,10,69,3.32,NG,1611502919
Axum,14.1245,38.7244,291.25,30,82,2.39,ET,1611502919
Kushima,31.4583,131.2333,282.04,100,6,1.79,JP,1611502823
Luanda,-8.8368,13.2343,303.15,58,40,4.63,AO,1611502511
La Santisima Trinidad,-14.8333,-64.9,296.15,94,90,1.68,BO,1611502685
North Myrtle Beach,33.816,-78.68,282.04,56,40,4.12,US,1611502920
Marsabit,2.3284,37.9899,296.36,57,14,4.94,KE,1611502920
Nuuk,64.1835,-51.7216,267.15,58,20,2.06,GL,1611502743
Opuwo,-18.0607,13.84,302.22,29,80,5.32,NA,1611502920
Bemidji,47.4736,-94.8803,254.82,78,40,4.12,US,1611502846
Isangel,-19.55,169.2667,299.05,87,100,2.78,VU,1611502921
Ponta do Sol,32.6667,-17.1,291.48,69,65,2.24,PT,1611502921
Tasiilaq,65.6145,-37.6368,263.15,48,0,1.03,GL,1611502789
Kutum,14.2,24.6667,298.7,17,1,4.83,SD,1611502921
Lobito,-12.3481,13.5456,300.25,63,31,3.62,AO,1611502921
Stromness,58.965,-3.296,274.15,93,75,4.12,GB,1611502921
Tiksi,71.6872,128.8694,231.3,79,35,3.53,RU,1611502782
Alekseyevsk,57.8406,108.3492,243.55,85,33,0.78,RU,1611502922
Poykovskiy,61.2333,73.3333,229.15,66,99,2.0,RU,1611502922
Lagoa,39.05,-27.9833,289.67,90,98,10.58,PT,1611502789
Dicabisagan,17.0818,122.4157,297.93,88,100,4.28,PH,1611502922
Hambantota,6.1241,81.1185,299.15,89,40,3.6,LK,1611502922
Río Gallegos,-51.6226,-69.2181,291.15,25,0,7.72,AR,1611502922
Khovd,48.0056,91.6419,259.07,63,100,3.08,MN,1611502923
Severo-Kuril'sk,50.6789,156.125,263.87,88,95,2.5,RU,1611502785
Korla,41.7597,86.1469,268.13,81,0,1.51,CN,1611502923
Bariloche,-41.1456,-71.3082,294.15,35,0,6.17,AR,1611502896
Arraial do Cabo,-22.9661,-42.0278,303.15,69,75,8.75,BR,1611502784
Afuá,-0.1567,-50.3867,300.79,83,61,2.8,BR,1611502924
Amarante do Maranhão,-5.5667,-46.7422,302.52,62,69,3.27,BR,1611502924
Nālūt,30.3333,10.85,290.35,29,5,6.0,LY,1611502925
Naze,28.3667,129.4833,289.6,86,58,3.94,JP,1611502925
Kununurra,-15.7667,128.7333,298.15,100,100,1.54,AU,1611502925
Tarko-Sale,64.9225,77.785,230.3,75,0,1.09,RU,1611502925
Henties Bay,-22.116,14.2845,294.45,84,99,4.24,NA,1611502925
Ha Tinh,18.3333,105.9,291.66,94,12,1.13,VN,1611502925
Reftinskiy,57.0901,61.6769,254.15,78,75,5.0,RU,1611502925
Marawi,7.9986,124.2928,298.15,91,94,2.24,PH,1611502880
Mergen,49.1833,125.2167,252.38,85,80,3.27,CN,1611502926
Neiafu,-18.65,-173.9833,298.15,94,90,3.16,TO,1611502926
Bulgan,48.8125,103.5347,258.2,91,100,0.7,MN,1611502926
Loviisa,60.4566,26.2251,274.26,97,100,2.72,FI,1611502926
Juegang,32.3174,121.1855,282.04,92,31,0.45,CN,1611502926
Kota,25.1833,75.8333,287.78,33,0,2.1,IN,1611502926
Vila Velha,-20.3297,-40.2925,300.15,74,75,6.17,BR,1611502790
Tual,-5.6667,132.75,302.04,75,100,6.27,ID,1611502926
Grindavik,63.8424,-22.4338,271.15,80,20,10.8,IS,1611502781
Clyde River,70.4692,-68.5914,259.15,92,75,9.77,CA,1611502927
Oussouye,12.485,-16.5469,310.15,20,0,3.09,SN,1611502927
Srednekolymsk,67.45,153.6833,239.14,84,100,3.67,RU,1611502927
Tura,25.5198,90.2201,288.52,58,0,1.57,IN,1611502777
Shakawe,-18.3667,21.85,302.49,51,1,1.41,BW,1611502927
Bogashevo,56.3683,85.1447,239.15,68,0,2.0,RU,1611502927
Les Cayes,18.2,-73.75,300.53,67,2,2.81,HT,1611502927
Bandarbeyla,9.4942,50.8122,296.41,71,25,8.72,SO,1611502790
Mariano Roque Alonso,-25.1667,-57.55,302.15,74,75,4.63,PY,1611502927
Mannargudi,10.6667,79.4333,294.68,78,37,2.96,IN,1611502927
Sertã,39.8085,-8.0988,288.71,79,100,0.89,PT,1611502927
Ţahţā,26.7693,31.5021,292.15,34,0,5.14,EG,1611502928
Sept-Îles,50.2001,-66.3821,275.37,64,100,7.2,CA,1611502823
Huarmey,-10.0681,-78.1522,297.84,63,11,3.97,PE,1611502928
Viedma,-40.8135,-62.9967,310.48,20,83,6.79,AR,1611502928
Varhaug,58.6147,5.6457,275.15,75,20,1.54,NO,1611502928
Khandyga,62.6667,135.6,227.02,76,100,0.74,RU,1611502928
Vangaindrano,-23.35,47.6,299.79,79,14,1.75,MG,1611502928
De-Kastri,51.4667,140.7833,249.17,80,79,2.97,RU,1611502928
Yangi Marg`ilon,40.4272,71.7189,272.15,51,0,3.09,UZ,1611502928
Buala,-8.145,159.5921,298.84,71,22,1.78,SB,1611502929
Praia,14.9215,-23.5087,301.15,44,0,8.23,CV,1611502792
Grand Haven,43.0631,-86.2284,270.37,80,90,5.14,US,1611502929
Daru,-9.0763,143.2092,299.34,86,99,3.59,PG,1611502929
Carupano,10.6678,-63.2585,300.03,67,27,5.43,VE,1611502929
Yar-Sale,66.8333,70.8333,234.46,80,60,4.26,RU,1611502783
Maryborough,-25.5333,152.7,293.94,89,99,1.7,AU,1611502929
Tevaitoa,-16.7833,-151.5,300.41,71,0,6.2,PF,1611502929
Taoudenni,22.6783,-3.9836,303.7,11,1,5.07,ML,1611502930
Kruisfontein,-34.0033,24.7314,293.15,74,96,2.24,ZA,1611502777
Fort Frances,48.5999,-93.4003,257.15,78,20,4.12,CA,1611502930
Palmer,42.1584,-72.3287,268.15,42,0,0.45,US,1611502930
Salinópolis,-0.6136,-47.3561,300.53,83,93,4.67,BR,1611502930
Balsas,-7.5325,-46.0356,303.99,53,69,4.08,BR,1611502930
Kewanee,41.2456,-89.9248,273.15,81,87,1.28,US,1611502930
Leningradskiy,69.3833,178.4167,245.86,82,0,1.01,RU,1611502787
Skjervøy,70.0311,20.9714,265.15,79,20,10.8,NO,1611502930
Synya,65.3718,58.0387,251.31,89,100,5.13,RU,1611502930
Ucluelet,48.9329,-125.5528,276.48,100,90,6.69,CA,1611502879
Bāfq,31.6128,55.4107,279.0,49,0,0.66,IR,1611502931
Saint Paul Harbor,57.79,-152.4072,275.15,55,1,14.92,US,1611502774
Port Hardy,50.6996,-127.4199,275.15,100,90,2.57,CA,1611502783
Jalu,29.0331,21.5482,289.87,28,0,2.96,LY,1611502931
Sibu,2.3,111.8167,299.15,89,40,0.51,MY,1611502931
Santa Cruz Cabrália,-16.2781,-39.0247,301.15,65,75,3.6,BR,1611502931
Diffa,13.3154,12.6113,301.63,12,59,5.37,NE,1611502931
Aklavik,68.2191,-135.0107,240.15,68,1,1.03,CA,1611502931
San Policarpo,12.1791,125.5072,299.38,83,18,3.91,PH,1611502932
Nizhniy Kuranakh,58.8353,125.4869,234.23,76,0,0.87,RU,1611502932
Killybegs,54.6333,-8.45,277.15,75,0,3.09,IE,1611502932
Lagos,6.5833,3.75,307.15,40,39,2.57,NG,1611502386
Bāsudebpur,21.1353,86.7386,293.15,91,0,1.9,IN,1611502932
El Tarra,8.5756,-73.0949,300.6,68,97,1.72,CO,1611502932
Pires do Rio,-17.2997,-48.2794,302.22,47,77,3.49,BR,1611502932
Vestmannaeyjar,63.4427,-20.2734,276.15,48,20,7.2,IS,1611502932
Birao,10.2849,22.7882,306.29,12,8,3.34,CF,1611502932
Bulawayo,-20.15,28.5833,296.42,62,97,2.19,ZW,1611502932
Neftçala,39.3742,49.2472,279.09,77,0,1.2,AZ,1611502932
Dingle,10.9995,122.6711,297.3,90,30,2.51,PH,1611502779
Adrar,20.5022,-10.0711,301.39,11,100,5.75,MR,1611502933
Ruteng,-8.6136,120.4721,290.69,100,100,0.8,ID,1611502933
Sidhi,24.4167,81.8833,289.29,44,0,2.3,IN,1611502933
Yerbogachën,61.2767,108.0108,234.71,81,78,0.83,RU,1611502933
Arman',59.7,150.1667,245.61,78,96,5.19,RU,1611502933
Kasangulu,-4.5911,15.1708,303.15,65,75,2.06,CD,1611502933
Hofn,64.2539,-15.2082,274.15,51,75,13.38,IS,1611502778
Goundam,16.4145,-3.6708,304.8,9,14,6.17,ML,1611502934
Bisert',56.8617,59.0523,264.32,96,100,2.15,RU,1611502934
Maxixe,-23.8597,35.3472,302.15,79,40,7.2,MZ,1611502934
Koppang,61.5706,11.0555,262.04,91,3,0.58,NO,1611502934
Laas,46.6166,10.7002,279.15,56,0,0.51,IT,1611502934
Lavrentiya,65.5833,-171.0,255.47,84,100,2.14,RU,1611502934
Codrington,-38.2667,141.9667,295.22,33,41,2.5,AU,1611502934
Leshan,29.5623,103.7639,284.77,77,99,2.33,CN,1611502934
Mahabalipuram,12.6264,80.1722,299.15,73,20,2.57,IN,1611502934
Sunderland,54.9047,-1.3822,275.93,76,35,0.45,GB,1611502906
Aasiaat,68.7098,-52.8699,261.42,81,18,1.13,GL,1611502935
Ust-Nera,64.5667,143.2,242.43,77,99,0.78,RU,1611502935
Pahrump,36.2083,-115.9839,276.48,80,1,2.06,US,1611502749
Bathurst,-33.4166,149.5806,295.93,64,100,0.94,AU,1611502935
Kautokeino,69.0125,23.0412,249.13,89,95,1.1,NO,1611502935
Port Lincoln,-34.7333,135.8667,298.62,45,99,3.17,AU,1611502935
Nova Viçosa,-17.8919,-39.3719,301.52,60,69,3.28,BR,1611502741
Kitaibaraki,36.7833,140.75,279.82,69,100,4.45,JP,1611502935
Griffith,41.5284,-87.4237,271.48,80,90,2.06,US,1611502935
Lesosibirsk,58.2358,92.4828,246.42,88,100,2.44,RU,1611502936
East London,-33.0153,27.9116,292.15,82,75,3.6,ZA,1611502936
Kumul,42.8,93.45,267.2,79,84,1.39,CN,1611502936
Sitka,57.0531,-135.33,274.15,93,75,2.06,US,1611502936
Brunsbüttel,53.9,9.15,276.48,93,100,0.89,DE,1611502936
Grand Gaube,-20.0064,57.6608,297.59,88,48,2.66,MU,1611502781
Great Yarmouth,52.6083,1.7305,277.04,93,75,2.57,GB,1611502936
Ambilobe,-13.2,49.05,298.37,87,100,0.59,MG,1611502936
Yulara,-25.2406,130.9889,301.15,65,75,2.06,AU,1611502936
Campo Grande,-20.4428,-54.6464,301.15,61,75,4.63,BR,1611502873
Datong,40.0936,113.2914,270.89,79,100,0.44,CN,1611502937
Ostrovnoy,68.0531,39.5131,260.43,94,100,5.56,RU,1611502937
Mersing,2.4312,103.8405,299.15,89,58,3.6,MY,1611502937
Los Llanos de Aridane,28.6585,-17.9182,294.15,73,40,2.06,ES,1611502937
Lichuan,30.3,108.85,277.04,96,99,1.12,CN,1611502937
Turaif,31.6725,38.6637,287.15,33,0,5.14,SA,1611502893
Yanam,16.7333,82.2167,298.15,78,7,2.06,IN,1611502937
Nemuro,43.3236,145.575,270.61,94,0,3.63,JP,1611502937
Lüderitz,-26.6481,15.1594,295.02,53,77,13.4,NA,1611502938
Kokstad,-30.5472,29.4241,288.79,93,100,1.92,ZA,1611502731
Aldan,58.6031,125.3894,235.56,78,4,1.96,RU,1611502938
Seoul,37.5683,126.9778,276.15,81,0,1.54,KR,1611502935
Mehamn,71.0357,27.8492,266.15,73,0,6.69,NO,1611502938
Guadalupe,25.6833,-100.25,292.15,100,90,1.66,MX,1611502938
